Formula                         icsd     idk1 idk2
Cr2O4Si1                        89073   70   SEBR
Cr2O4Si1                        89071   70   SEBR
Cl2Cu2O1                        96610   70   SEBR
Ba1Ge2Ru2                       77143   70   SEBR
B2Ce1Ru2                        40799   70   SEBR
B2Ce1Ir2                        40618   70   SEBR
B2Ca1Rh2                        49737   70   SEBR
B2Ca1Ir2                        49738   70   SEBR
B1Ir1Li1                        75028   70   SEBR
B1Ir1Li1                        75027   70   SEBR
Te2U1                           82655   71   SEBR
Te2U1                           82654   71   SEBR
Te2U1                           82653   71   SEBR
Te2U1                           82652   71   SEBR
Te2U1                           82651   71   SEBR
Te2U1                           82650   71   SEBR
Te2U1                           82649   71   SEBR
Te2U1                           82648   71   SEBR
Te2U1                           82647   71   SEBR
Te2U1                           82646   71   SEBR
Te2U1                           82645   71   SEBR
Te2U1                           82644   71   SEBR
Te2U1                           82643   71   SEBR
Te2U1                           82642   71   SEBR
Te2U1                           63170   71   SEBR
Te2U1                           40694   71   SEBR
Ni2P2Sr1                        85406   71   SEBR
Mn1Si2Zr1                       41390   71   SEBR
Li4Sb4Sr3                       25307   71   SEBR
La2Ni2Zn1                      416817   71   SEBR
H1Ce2Li1O3                      56745   71   SEBR
Ge4Pd4Yb3                      411182   71   SEBR
Ge2Ni1Yb1                      170342   71   SEBR
Ge2Ir1Y1                        76509   71   SEBR
Ge2Ho1Pt1                       88227   71   SEBR
Ge2Ho1Pt1                      300260   71   SEBR
Fe2O5Sr3                       420235   71   SEBR
Fe2O5Sr3                       420234   71   SEBR
Cu6Sn5Yb3                      413485   71   SEBR
Cu4Ge4Yb3                      426132   71   SEBR
Cs1Fe1S2                       201112   71   SEBR
Ce3Rh4Si4                      247288   71   SEBR
Ce3Pd4Si4                      174076   71   SEBR
Ce3Ge4Li4                      262434   71   SEBR
Ce2Ni2Zn1                      416816   71   SEBR
Ce1Si5                         174529   71   SEBR
Ce1Ge5                         246812   71   SEBR
Ca2Mg1Pt2                      429175   71   SEBR
Ca2Mg1Pd2                      429174   71   SEBR
Ca2Cd1Pd2                      425471   71   SEBR
C4Co1Sc3                        40950   71   SEBR
C4Co1Sc3                       173167   71   SEBR
C2Bi2Ca1O8                      94741   71   SEBR
Ba3Li4Sb4                      428114   71   SEBR
Ba3Cd1Hg10                     290306   71   SEBR
Ba3Bi4Li4                      428115   71   SEBR
Ba1Ho2Ni1O5                     72629   71   SEBR
Ba1Ho2Ni1O5                     62759   71   SEBR
Ba1Ho2Ni1O5                     62424   71   SEBR
B6Fe2U1                        167153   71   SEBR
B6Cr2Th1                        81543   71   SEBR
B6Ce1Cr2                        81544   71   SEBR
B4Cr3                           40791   71   SEBR
B4Cr1                          423380   71   SEBR
B2Ce3N4                         68610   71   SEBR
As1Te1Ti1                      281420   71   SEBR
Al4O1Si6Sr10                   418387   71   SEBR
Al2Sn2Sr3                        9564   71   SEBR
Al2Si2Sr3                      100127   71   SEBR
Al2Ge2Sr3                       52617   71   SEBR
Al2Ca3Si2                      100126   71   SEBR
Al2Ca3Ge2                       52616   71   SEBR
Al2Ba3Sn2                        9565   71   SEBR
Al2Ba3Si2                      100128   71   SEBR
Al2Ba3Ge2                       52612   71   SEBR
Al16Ce2Pt9                     163921   71   SEBR
Ag4Ce3Ge4                      417491   71   SEBR
Ni3Si5Y2                        84206   72   SEBR
Te4Zr5                          51047   87   SEBR
Te4Zr5                         409337   87   SEBR
Se4Ti5                          55075   87   SEBR
Mo1Ni1O6Sr2                    157026   87   SEBR
Mo1Ni1O6Sr2                    157025   87   SEBR
Mo1Ni1O6Sr2                    157024   87   SEBR
Mo1Ni1O6Sr2                    157023   87   SEBR
Mo1Ni1O6Sr2                    157021   87   SEBR
Mo1Ni1O6Sr2                    157020   87   SEBR
Ge4Li4Yb5                       57076   87   SEBR
C4Cr4U1                         60822   87   SEBR
As4Mo5                          43186   87   SEBR
As4Ba1Cu8                       66017   87   SEBR
Cu1Sb3Zr2                       93242  115   SEBR
Cu1Sb3Zr2                      426313  115   SEBR
